Pais,Cluster,PIB_per,Poblacion,Esperanza.vida,Acceso.electricidad,Area.boscosa,Suscripciones.movil,Crecimiento.PIB,Mortalidad.infantil,Inversion.extranjera,Gasto.salud,Uso.internet,Importaciones,Exportaciones,Tierra.cultivable,Crecimiento.poblacion,Industria,Remesas
Bulgaria,1,13999.6719197289,6465097,74.1609756097561,100,36.0998526160649,116.679,4.03877758301681,5.1,5.59153979384169,7.66357517,79.1269,68.8630561149866,69.9770907029936,31.9454679439941,-0.650676134087796,25.3027914291274,2.31142154213049
Burkina Faso,3,836.118304593682,22509038,60.7,19.5,22.3552631578947,119.463,1.4972397409897,46.1,3.5586103002345,6.77182007,14.6238,33.0990310342397,31.744842886064,28.9012744883041,2.30907147387783,28.7354846571486,2.78377631718111
Burundi,3,250.634225368744,13321097,62.882,10.3,10.8894080996885,56.26,1.84899943948213,32.4,0.757355122631358,8.39522648,11.0009,23.3442218510957,4.9710985076333,50.3702686915888,2.70585008916716,10.6377881445908,4.8947554204382
Cabo Verde,2,4323.31362032709,519741,75.907,97.1,11.4937965260546,113.247,15.843675684642,11.5,5.43014452079405,6.67440224,72.7601,58.3098826343223,38.6842542170134,12.4069478908189,0.596688345869947,11.0789238411144,14.031084297698
Cambodia,2,2325.03050040841,17201724,70.528,92.3,43.9439723544074,113.392,5.12990110767267,21.1,8.94830125779534,4.71089554,59.6606,73.6665720833071,72.2070606780988,23.3409228416044,1.33088813106016,40.8649626222329,6.54093545373445
Cameroon,3,1604.87726954895,27632771,62.443,71,42.7925789596158,89.8274,3.7367840056412,42.5,2.08735032157122,4.47835922,41.775,21.9647892415588,19.321813317909,13.1158638488714,2.62905090961273,27.1303593377196,1.26876259890659
Chile,1,15405.6165774073,19553036,79.176,100,24.8461772576085,135.114,2.15399356192458,5.9,6.2318507042491,10.06172848,93.5377,39.5949894702167,35.6066282723137,1.74588686071584,0.495789591494285,31.0330474006021,0.0282751450622328
China,2,12970.6056414327,1412175000,78.202,100,23.8316995465589,124.195,3.1341888719577,4.8,1.03841365474349,5.36948681,75.6113,17.1429881849395,20.297731691419,11.5635568441694,-0.0130995013525784,37.8945266620066,0.142457651070649
Colombia,1,6680.44506854481,51737944,76.508,100,52.9457763857593,156.195,7.32827729427979,11.3,4.97124137726565,7.57361269,72.7964,27.8942871185028,20.3883679938331,2.21063542136097,1.06829295530618,26.1230022316952,2.7354220776326
Comoros,3,1533.87755332151,834188,66.481,89.9,17.2165502418055,100.549,2.81839506562636,36.8,0.322667538363092,8.3803854,32.7685,37.4417429765366,12.9470275117016,34.9274583557227,1.93837687010445,9.63879809027371,22.0265607625729
"Congo, Dem. Rep.",3,642.612267148918,102396968,60.979,21.5,54.6754592973247,48.6774,8.92444785079518,45.8,2.14185515361453,3.78614616,29.4996,48.2307170129048,45.4979498732673,6.39680862795263,3.2234019442495,47.7796330714614,4.9571436331373
"Congo, Rep.",3,2620.83804304713,6035104,65,50.6,64.1756954612006,93.6259,1.47535613247133,28.5,3.3650833609005,2.19224548,37.4939,34.3491898359076,63.8121468562925,1.61054172767204,2.39665300284304,49.2455523632312,0.277926360064526
Costa Rica,1,13625.9008491478,5081765,79.316,100,60.0785350567959,154.989,4.55149177958398,8.8,5.3050432792936,7.18368196,82.598,39.8223364209329,42.4051961143561,3.27327457892675,0.429453043658398,20.6464381115517,0.895844948117856
Cote d'Ivoire,3,2333.37128334477,30395002,61.562,72,8.21049968553459,161.232,6.39988362720531,47.9,2.25472653239831,3.6424129,38.4133,28.5990307151189,24.2673603262295,14.1790927672956,2.5162293495351298,23.0445423474416,1.46910313601649
Croatia,1,18466.0955472648,3855641,77.5756097560976,100,34.7410650464618,114.677,7.28793643206565,3.9,5.51610421858619,7.21545315,82.0716,65.7168860772854,59.4969715136887,15.2430307362402,-0.603521952188318,20.0651495635468,7.52345344767519
Cyprus,1,33894.44921875,1331370,80.434,100,18.6677489177489,151.241,7.20486780743879,2.8,0.174199839978059,8.87060547,89.601,102.010660936682,105.621766109694,10.2623051948052,1.06174678712373,10.314473599827,1.68913833918413
Czechia,1,28282.2236715857,10672118,78.9292682926829,100,34.7369431785448,128.105,2.8471706583814,2.2,3.02937517288668,8.79904652,84.5401,71.6020659665878,72.4094281428088,32.1272569631392,1.5709725672011,29.2185730464326,1.37578324481376
